case,lambda,sigma_22,S_2_lambda,lambda_sq_S,kl_bulk,cond_action,J_lambda
A,2.0,0.125,0.125,0.5,0.0,0.0,0.0
B,256.0,7.62939453125e-06,7.629394529487440159350771274378490266871515106417089354261898034982576017087742e-06,0.4999999998844888782832121462376687381296916140141503679209077496206181018558623,1.334281924232557055176011706313027009387522035755325360935766924930647386608519e-20,1.155111217167878537623312618703083859858496320790922503793818981441359655945833e-10,1.155111217301306730046568324220685030489799021729674707369351517534936348438897e-10
B,512.0,1.9073486328125e-06,1.907348632784852527995018446672169331157079731486142943401642157567553653835619e-06,0.4999999999927523810987261156844291571468415091307034557550800817533887850310844,5.252797973861006979057871360020427848881979037286404743663799131127430612597553e-23,7.247618901273884315570842853158490869296544244919918246611214968917404472672677e-12,7.247618901326412295309452922949069582896748523408738036984079016354042463983951e-12
B,1024.0,4.76837158203125e-07,4.768371582026921649251984667864104040432299338624438572699180174567936014921222e-07,0.4999999999995461395286049075090270758300338711297459300806615550727748074782035,2.05989327495100223123539688940621801910436356013426703445785562586554746542898e-25,4.538604713950924909729241699661288702540699193384449272251925217974458340742884e-13,4.538604713952984803004192701892524099430105411403553635812059485008916196368749e-13
B,2048.0,1.1920928955078125e-07,1.192092895507744803490240458451244472227587730007379385094334122726859632332874e-07,0.4999999999999716060258329515843888494842060126320871384418705988289758263332304,8.062177689990432894155848350784281403748669268208341531050052825430956082424709e-28,2.83939741670484156111505157939873679128615581294011710241736667682621705279214e-14,2.839397416704922182891951483727678349769663655754154589110048760241527553320395e-14
B,4096.0,2.98023223876953125e-08,2.980232238769520667256145653600815548918661094742162104892288881034463523056148e-08,0.4999999999999982245102048295792206024036694361728571794079258729151349797043397,3.152364012754310197035314050618308013443828893810680981506613383829858663765293e-30,1.775489795170420779397596330563827142820592074127084865020295661664874511549737e-15,1.775489795170423931761609084874024178134642692435098308849189472345856018163121e-15
C,2.0,0.125,0.1217948717948717948717948717948717948717948717948717948717948717948717948717953,0.4871794871794871794871794871794871794871794871794871794871794871794871794871813,0.02580825602214314952405707539141992258276006628229906826037031201964913876738343,0.9871794871794871794871794871794871794871794871794871794871794871794871794871899,1.012987743201630329011236562570907102069939553461786247747549799199136318254565
C,4.0,0.03125,0.03117283950617283950617283950617283950617283950617283950617283950617283950617294,0.498765432098765432098765432098765432098765432098765432098765432098765432098767,0.00247066247392910313277345344470865043807493272193470324063449056891308442141469,0.9987654320987654320987654320987654320987654320987654320987654320987654320987714,1.00123609457269453523153888554347408253684036482070013533939992266767851652018
C,8.0,0.0078125,0.007810995570960908915848257269401116888118621220874253803196610822260735605622966,0.4999037165414981706142884652416714808395917581359522434045830926246870787598699,0.0001925761886983400543992672865201132531671913903820975389663116901606635768752089,0.9999037165414981706142884652416714808395917581359522434045830926246870787598569,1.000096292730196510668687732528191594092758949526334340943549404314847742336738
C,16.0,0.001953125,0.001953098606775584113728192862258618126782070512560641072417940298104079674598991,0.4999932433345495331144173727382062404562100512155241145389927163146443966973417,1.351337655387306334479272774982402839883725352061490370064024737078525092813917e-05,0.9999932433345495331144173727382062404562100512155241145389927163146443966973504,1.000006756711103406177762165465956064484608888469044729442693356562015181948277
C,32.0,0.00048828125,0.00048828081214596173315434700928738155382726743659481208677787850989401606393291,0.4999995516374648147500513375102787111191218550730875768605475941314724494672998,8.967252713995830336242728660092590713201816798881622132407576550280797006567389e-07,0.9999995516374648147500513375102787111191218550730875768605475941314724494672955,1.00000044836273621433308496178314472037819317525476746502276083488912747754699
C,64.0,0.0001220703125,0.0001220703054462223786257274713222519908943111980961147693544281597962285760183156,0.4999999711077268628509797225359441547030986674016860952757377425253522473710207,5.778454710906151974417041729949427860788579841080877251690222501189238137993527e-08,0.9999999711077268628509797225359441547030986674016860952757377425253522473710293,1.000000028892273971912499466706361454197377275287484506084510259427577259263412
C,128.0,3.0517578125e-05,3.051757801306897013772860192370940643666895090841751576042999861582556824460967e-05,0.4999999981661220067365454139180549150583840916835125782188850973216861101196849,3.667755989890017674563259585283847518923423488493391319085678840685918573374497e-09,0.9999999981661220067365454139180549150583840916835125782188850973216861101196806,1.000000001833877996626563088481314500342231610606936066712276416407364950805599
C,256.0,7.62939453125e-06,7.629394529487440159350771274378490266871515106417089354261898034982576017087742e-06,0.4999999998844888782832121462376687381296916140141503679209077496206181018558623,2.3102224344691852676698809429237688903482953425205972111631704989762960043847e-10,0.9999999998844888782832121462376687381296916140141503679209077496206181018558623,1.000000000115511121730130673004656832422068503048979902172967470736935151753495
C,512.0,1.9073486328125e-06,1.907348632784852527995018446672169331157079731486142943401642157567553653835619e-06,0.4999999999927523810987261156844291571468415091307034557550800817533887850310844,1.449523780260029661088029577610756045219329276832865628359529398527144693665273e-11,0.9999999999927523810987261156844291571468415091307034557550800817533887850310844,1.000000000007247618901326412295309452922949069582896748523408738036984079016354
C,1024.0,4.76837158203125e-07,4.768371582026921649251984667864104040432299338624438572699180174567936014921222e-07,0.4999999999995461395286049075090270758300338711297459300806615550727748074782035,9.077209427903909712733434401553812801970804604788002908063984702983374537121647e-13,0.9999999999995461395286049075090270758300338711297459300806615550727748074781906,1.000000000000453860471395298480300419270189252409943010541140355363581205948488
C,2048.0,1.1920928955078125e-07,1.192092895507744803490240458451244472227587730007379385094334122726859632332874e-07,0.4999999999999716060258329515843888494842060126320871384418705988289758263332304,5.678794833409763744007003063126415141055819468694271691527415437067744606113345e-14,0.9999999999999716060258329515843888494842060126320871384418705988289758263332218,1.000000000000028393974167049221828919514837276783497696636557541545891100487591
C,4096.0,2.98023223876953125e-08,2.980232238769520667256145653600815548918661094742162104892288881034463523056148e-08,0.4999999999999982245102048295792206024036694361728571794079258729151349797043397,3.55097959034084471115920541543785132095523476656218317386948513401073052971387e-15,0.9999999999999982245102048295792206024036694361728571794079258729151349797043267,1.000000000000001775489795170423931761609084874024178134642692435098308849189454
