family,label,formula,lambda,d_lambda,ratio,defect,precision_bits
canonical,Canonical,$d_\lambda=\varepsilon_0/\lambda$,1.267650600228229401496703205376e+30,7.888609052210118054117285652827862296732064351090230047702789306640625e-31,1.0,0.0,256
perturbed,Asymptotic perturbation,$d_\lambda=(\varepsilon_0/\lambda)(1+\lambda^{-2})$,1.267650600228229401496703205376e+30,7.888609052210118054117285652827862296732064351090230047702794215734090297726553e-31,1.000000000000000000000000000000000000000000000000000000000000622301527786114171,6.223015277861141707144064053780124240590252168721167133101116614789698834035383e-61,256
