n,lambda,schur,lambda_sq_schur,R_lambda,lambda6_R_lambda,m2_schur_theory
128,1024.0,4.7683715819950325e-7,0.4999999999962023,3.621732188646137e-18,4.1755729242169535,0.5
128,2048.0,1.192092895507246e-7,0.4999999999997624,5.664983728969824e-20,4.180020201201406,0.5
128,4096.0,2.9802322387694426e-8,0.4999999999999851,8.856256573147396e-22,4.182248920472524,0.5
384,2.0,0.10805716605232125,0.432228664209285,0.016942833947678742,1.0843413726514395,0.5
384,4.0,0.03066990926748613,0.49071854827977807,0.0005800907325138717,2.3760516403768186,0.5
384,8.0,0.007800249911423262,0.49921599433108876,1.2250088576738193e-5,3.211287219860457,0.5
384,16.0,0.0019529063748689116,0.4999440319664414,2.1862513108828006e-7,3.6679210472963897,0.5
384,32.0,0.00048827760357843914,0.4999962660643217,3.6464215608414075e-9,3.91531533781078,0.5
384,64.0,0.00012207025361649842,0.49999975881317754,5.88835015831051e-11,4.04644341717441,0.5
384,128.0,3.0517577189486452e-5,0.499999984672546,9.355135467661519e-13,4.114432090445403,0.5
384,256.0,7.629394516509139e-6,0.49999999903394293,1.4740861135921755e-14,4.14918354492859,0.5
384,512.0,1.9073486325811956e-6,0.49999999993936495,2.3130437530394355e-16,4.166809193712022,0.5
384,1024.0,4.7683715819950314e-7,0.4999999999962022,3.621855435931703e-18,4.175715018662867,0.5
384,2048.0,1.1920928955072459e-7,0.49999999999976236,5.665236094020503e-20,4.1802064137415265,0.5
384,4096.0,2.9802322387694426e-8,0.4999999999999851,8.85672086249347e-22,4.18246817491715,0.5
1500,2.0,0.10805716605195166,0.43222866420780665,0.016942833948048342,1.084341372675094,0.5
1500,4.0,0.03066990926745639,0.4907185482793022,0.0005800907325436115,2.3760516404986327,0.5
1500,8.0,0.007800249911421346,0.49921599433096614,1.225008857865432e-5,3.2112872203627583,0.5
1500,16.0,0.0019529063748687926,0.4999440319664109,2.1862513120744362e-7,3.6679210492956225,0.5
1500,32.0,0.0004882776035784318,0.4999962660643142,3.6464215681750167e-9,3.915315345685183,0.5
1500,64.0,0.00012207025361649798,0.4999997588131757,5.888350202753935e-11,4.046443447715699,0.5
1500,128.0,3.0517577189486428e-5,0.49999998467254564,9.355135729257476e-13,4.114432205496522,0.5
1500,256.0,7.629394516509137e-6,0.4999999990339428,1.4740862595037423e-14,4.149183955633139,0.5
1500,512.0,1.9073486325811956e-6,0.49999999993936495,2.3130444948325624e-16,4.166810530007722,0.5
1500,1024.0,4.7683715819950314e-7,0.4999999999962022,3.621858704627161e-18,4.175718787212152,0.5
1500,2048.0,1.1920928955072459e-7,0.49999999999976236,5.665248023471441e-20,4.1802152161226624,0.5
1500,4096.0,2.9802322387694426e-8,0.4999999999999851,8.856756288331442e-22,4.182484904296136,0.5
