n,noise_trace_tail_exact,sigma_trace_error_vs_ref,sigma_lambda_trace_error_vs_ref,schur_lambda_fixed,schur_abs_error_vs_ref,m2_schur_extrapolated,m2_schur_abs_error_theory,zero_pole_product
16,0.49230950093306275,0.015579570537598567,0.015115049731250335,0.030670143265549087,2.3399809269755711e-7,0.4999999999999329,6.711298183859071e-14,0.0
32,0.3508128308442602,0.0031726586817247245,0.003156199142200534,0.03066992324293749,1.3975481102240783e-8,0.49999999999993244,6.755707104844078e-14,0.0
64,0.24902725206146728,0.0005908819235931124,0.0005904500758416552,0.030669909737706155,4.70249766210129e-10,0.4999999999999319,6.811218256075335e-14,0.0
128,0.17643210265720966,0.00010626991909266749,0.0001062598039217991,0.030669909279362268,1.1905879060414293e-11,0.49999999999993144,6.855627177060342e-14,0.0
256,0.12487804889652428,1.8735471416065827e-5,1.8735243279039376e-5,0.03066990926773052,2.741314120147109e-13,0.4999999999999314,6.861178292183467e-14,0.0
384,0.1019956692136091,6.667150628469281e-6,6.667125976956965e-6,0.03066990926748613,2.974009927214638e-14,0.4999999999999313,6.872280522429719e-14,0.0
512,0.08834521034885583,3.1335060083833327e-6,3.133500940744227e-6,0.030669909267462516,6.127043317150083e-15,0.49999999999993133,6.866729407306593e-14,0.0
768,0.07214529885338684,9.921471084538021e-7,9.921465746602477e-7,0.03066990926745704,6.522560269672795e-16,0.49999999999993133,6.866729407306593e-14,0.0
1000,0.06322974576791324,4.023172017092753e-7,4.023170871766158e-7,0.03066990926745653,1.4224732503009818e-16,0.49999999999993133,6.866729407306593e-14,0.0
